130100,130000,石家庄市,"中国,河北省,石家庄市",石家庄,"中国,河北,石家庄",2,0311,050000,Shijiazhuang,SJZ,S,114.502461,38.045474,行政区,
130102,130100,长安区,"中国,河北省,石家庄市,长安区",长安,"中国,河北,石家庄,长安",3,0311,050000,Chang'an,CA,C,114.53906,38.03665,行政区,
130104,130100,桥西区,"中国,河北省,石家庄市,桥西区",桥西,"中国,河北,石家庄,桥西",3,0311,050000,Qiaoxi,QX,Q,114.46977,38.03221,行政区,
130105,130100,新华区,"中国,河北省,石家庄市,新华区",新华,"中国,河北,石家庄,新华",3,0311,050000,Xinhua,XH,X,114.46326,38.05088,行政区,
130107,130100,井陉矿区,"中国,河北省,石家庄市,井陉矿区",井陉矿区,"中国,河北,石家庄,井陉矿区",3,0311,050100,Jingxingkuangqu,JXKQ,J,114.06518,38.06705,行政区,
130108,130100,裕华区,"中国,河北省,石家庄市,裕华区",裕华,"中国,河北,石家庄,裕华",3,0311,050000,Yuhua,YH,Y,114.53115,38.00604,行政区,
130109,130100,藁城区,"中国,河北省,石家庄市,藁城区",藁城,"中国,河北,石家庄,藁城",3,0311,052160,Gaocheng,GC,G,114.84671,38.02162,行政区,
130110,130100,鹿泉区,"中国,河北省,石家庄市,鹿泉区",鹿泉,"中国,河北,石家庄,鹿泉",3,0311,050200,Luquan,LQ,L,114.31347,38.08782,行政区,
130111,130100,栾城区,"中国,河北省,石家庄市,栾城区",栾城,"中国,河北,石家庄,栾城",3,0311,051430,Luancheng,LC,L,114.64834,37.90022,行政区,
130121,130100,井陉县,"中国,河北省,石家庄市,井陉县",井陉,"中国,河北,石家庄,井陉",3,0311,050300,Jingxing,JX,J,114.14257,38.03688,行政区,
130123,130100,正定新区,"中国,河北省,石家庄市,正定新区",正定,"中国,河北,石家庄,正定",3,0311,050800,Zhengding,ZD,Z,114.57296,38.14445,行政区,新区
130125,130100,行唐县,"中国,河北省,石家庄市,行唐县",行唐,"中国,河北,石家庄,行唐",3,0311,050600,Xingtang,XT,X,114.55316,38.43654,行政区,
130126,130100,灵寿县,"中国,河北省,石家庄市,灵寿县",灵寿,"中国,河北,石家庄,灵寿",3,0311,050500,Lingshou,LS,L,114.38259,38.30845,行政区,
130127,130100,高邑县,"中国,河北省,石家庄市,高邑县",高邑,"中国,河北,石家庄,高邑",3,0311,051330,Gaoyi,GY,G,114.61142,37.61556,行政区,
130128,130100,深泽县,"中国,河北省,石家庄市,深泽县",深泽,"中国,河北,石家庄,深泽",3,0311,052500,Shenze,SZ,S,115.20358,38.18353,行政区,
130129,130100,赞皇县,"中国,河北省,石家庄市,赞皇县",赞皇,"中国,河北,石家庄,赞皇",3,0311,051230,Zanhuang,ZH,Z,114.38775,37.66135,行政区,
130130,130100,无极县,"中国,河北省,石家庄市,无极县",无极,"中国,河北,石家庄,无极",3,0311,052460,Wuji,WJ,W,114.97509,38.17653,行政区,
130131,130100,平山县,"中国,河北省,石家庄市,平山县",平山,"中国,河北,石家庄,平山",3,0311,050400,Pingshan,PS,P,114.186,38.25994,行政区,
130132,130100,元氏县,"中国,河北省,石家庄市,元氏县",元氏,"中国,河北,石家庄,元氏",3,0311,051130,Yuanshi,YS,Y,114.52539,37.76668,行政区,
130133,130100,赵县,"中国,河北省,石家庄市,赵县",赵县,"中国,河北,石家庄,赵县",3,0311,051530,Zhaoxian,ZX,Z,114.77612,37.75628,行政区,
130181,130100,辛集市,"中国,河北省,石家庄市,辛集市",辛集,"中国,河北,石家庄,辛集",3,0311,052360,Xinji,XJ,X,115.20626,37.94079,行政区,
130183,130100,晋州市,"中国,河北省,石家庄市,晋州市",晋州,"中国,河北,石家庄,晋州",3,0311,052200,Jinzhou,JZ,J,115.04348,38.03135,行政区,
130184,130100,新乐市,"中国,河北省,石家庄市,新乐市",新乐,"中国,河北,石家庄,新乐",3,0311,050700,Xinle,XL,X,114.68985,38.34417,行政区,
130185,130100,高新区,"中国,河北省,石家庄市,高新区",高新区,"中国,河北,石家庄,高新区",3,0311,050000,Gaoxinqu,GXQ,G,114.648171,38.042413,,高新技术开发区
130186,130100,经济技术开发区,"中国,河北省,石家庄市,经济技术开发区",经济技术开发区,"中国,河北,石家庄,经济技术开发区",3,0311,052165,Jingjikaifaqu,JJKFQ,J,114.65887,38.021185,,经济技术开发区
130200,130000,唐山市,"中国,河北省,唐山市",唐山,"中国,河北,唐山",2,0315,063000,Tangshan,TS,T,118.175393,39.635113,行政区,
130202,130200,路南区,"中国,河北省,唐山市,路南区",路南,"中国,河北,唐山,路南",3,0315,063000,Lunan,LN,L,118.15431,39.62505,行政区,
130203,130200,路北区,"中国,河北省,唐山市,路北区",路北,"中国,河北,唐山,路北",3,0315,063000,Lubei,LB,L,118.20079,39.62436,行政区,
130204,130200,古冶区,"中国,河北省,唐山市,古冶区",古冶,"中国,河北,唐山,古冶",3,0315,063100,Guye,GY,G,118.45803,39.71993,行政区,
